id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag,num_sources,flux_integrated,outlier_flag
   1.01562,  16.02432,  15.90253,   0.80728,   0.04780,   0.00671,  25.00000,   0.00000,2466.34803, 154.55642,  -5.47247,   2.01562,68272.30689,   0.00000
   1.00000,  16.03700,  15.90247,   0.80654,   0.04155,   0.00627,  25.00000,   0.00000,2465.93948, 154.07711,  -5.46901,   2.00000,68250.46892,   0.00000
   1.00000,  16.05202,  15.89958,   0.80384,   0.03210,   0.00651,  25.00000,   0.00000,2460.15875, 153.94591,  -5.46785,   2.00000,68349.78606,   0.00000
   1.00000,  16.04333,  15.89699,   0.80540,   0.03807,   0.00779,  25.00000,   0.00000,2459.69356, 154.34498,  -5.47093,   2.00000,68260.60924,   0.00000
   1.00000,  16.04193,  15.89637,   0.80413,   0.04109,   0.00858,  25.00000,   0.00000,2461.13527, 154.50458,  -5.47180,   2.00000,68329.28427,   0.00000
   1.00000,  16.05791,  15.88284,   0.80387,   0.03084,   0.00917,  25.00000,   0.00000,2455.06184, 153.44602,  -5.46452,   2.00000,68337.56523,   0.00000
   1.00000,  16.04982,  15.89851,   0.80461,   0.03448,   0.00792,  25.00000,   0.00000,2461.38402, 152.82007,  -5.46001,   2.00000,68298.29771,   0.00000
   1.00000,  16.04280,  15.87493,   0.80361,   0.03777,   0.01107,  25.00000,   0.00000,2449.86578, 152.73510,  -5.45947,   2.00000,68308.66544,   0.00000
   1.00000,  16.03076,  15.87017,   0.80441,   0.04476,   0.01119,  25.00000,   0.00000,2449.37296, 153.39505,  -5.46407,   2.03125,68226.58773,   0.00000
   1.00000,  16.05622,  15.84407,   0.79952,   0.02996,   0.01587,  25.00000,   0.00000,2423.19912, 151.82186,  -5.45300,   2.00000,68295.74439,   0.00000
   1.00000,  16.04376,  15.88370,   0.80416,   0.03642,   0.00859,  25.00000,   0.00000,2453.13385, 153.02467,  -5.46150,   2.00000,68274.00515,   0.00000
   1.00000,  16.05729,  15.86747,   0.80219,   0.03309,   0.01150,  25.00000,   0.00000,2442.82012, 153.19420,  -5.46271,   2.00000,68309.79525,   0.00000
   1.00000,  16.04280,  15.86572,   0.80306,   0.03871,   0.01297,  25.00000,   0.00000,2446.67588, 152.98197,  -5.46130,   2.00000,68337.73109,   0.00000
   1.00000,  16.05532,  15.87042,   0.80234,   0.03266,   0.01095,  25.00000,   0.00000,2450.28246, 154.37885,  -5.47115,   1.98438,68398.44247,   0.00000
   1.00000,  16.05313,  15.85240,   0.80166,   0.03345,   0.01450,  25.00000,   0.00000,2438.24080, 152.40669,  -5.45712,   2.00000,68387.35583,   0.00000
   1.00000,  16.05194,  15.85826,   0.80213,   0.03287,   0.01219,  25.00000,   0.00000,2438.35524, 152.45603,  -5.45738,   2.00000,68257.96553,   0.00000
   1.00000,  16.04611,  15.84720,   0.80242,   0.03479,   0.01484,  25.00000,   0.00000,2439.04401, 152.79708,  -5.45994,   2.00000,68386.35252,   0.00000
   1.00000,  16.03292,  15.82632,   0.80018,   0.04818,   0.02071,  25.00000,   0.00000,2421.35055, 150.61222,  -5.44419,   2.00000,68371.67324,   0.00000
   1.00000,  16.06621,  15.81796,   0.79632,   0.02358,   0.02044,  25.00000,   0.00000,2401.71271, 151.44378,  -5.45022,   1.98438,68329.98981,   0.01562
   1.00000,  16.06101,  15.82326,   0.79797,   0.02942,   0.02204,  25.00000,   0.00000,2412.07470, 151.35340,  -5.44949,   2.00000,68357.54541,   0.00000
   1.00000,  16.05629,  15.82097,   0.79805,   0.03388,   0.02365,  25.00000,   0.00000,2413.02181, 151.41095,  -5.45019,   2.00000,68380.75457,   0.00000
   1.00000,  16.05079,  15.82465,   0.79839,   0.03381,   0.01910,  25.00000,   0.00000,2414.62533, 150.76006,  -5.44516,   1.98438,68360.10490,   0.00000
   1.00000,  16.04180,  15.83811,   0.80089,   0.03788,   0.01794,  25.00000,   0.00000,2429.26165, 151.28994,  -5.44906,   2.00000,68339.02981,   0.00000
